,track_id,latitude,longitude,elevation,temperature,weather,terrain_type,poi_objects,step_frequency,region,datetime,season,year,month,day,week_day,time_of_day,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,4,51.679204031825066,101.05225003324449,1326.7,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:55:15+00:00,Лето,2019,8,15,3,Ночь,,,
1,4,51.67932498268783,101.05237198993564,1328.3,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:55:25+00:00,Лето,2019,8,15,3,Ночь,,,
2,4,51.67945004068315,101.05247701518238,1330.3,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:55:37+00:00,Лето,2019,8,15,3,Ночь,,,
3,4,51.67958197183907,101.05256100185215,1332.4,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:55:47+00:00,Лето,2019,8,15,3,Ночь,,,
4,4,51.67970904149115,101.05267700739205,1334.5,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:55:56+00:00,Лето,2019,8,15,3,Ночь,,,
5,4,51.679829992353916,101.05278898961842,1337.0,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:56:07+00:00,Лето,2019,8,15,3,Ночь,,,
6,4,51.67996301315725,101.05291798710823,1338.8,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:56:19+00:00,Лето,2019,8,15,3,Ночь,,,
7,4,51.68009301647544,101.05314102955163,1340.1,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:56:35+00:00,Лето,2019,8,15,3,Ночь,,,
8,4,51.68022603727877,101.05327002704144,1342.2,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:56:46+00:00,Лето,2019,8,15,3,Ночь,,,
9,4,51.68035796843469,101.05334596708417,1343.8,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:56:58+00:00,Лето,2019,8,15,3,Ночь,,,
10,4,51.68052099645138,101.05347102507949,1346.5,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:57:15+00:00,Лето,2019,8,15,3,Ночь,,,
11,4,51.68071202002466,101.05351603589952,1349.2,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:57:33+00:00,Лето,2019,8,15,3,Ночь,,,
12,4,51.680904971435666,101.05345400981605,1350.8,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:57:49+00:00,Лето,2019,8,15,3,Ночь,,,
13,4,51.681070011109114,101.05329701676965,1352.3,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:58:09+00:00,Лето,2019,8,15,3,Ночь,,,
14,4,51.681158021092415,101.05309995822608,1354.1,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:58:19+00:00,Лето,2019,8,15,3,Ночь,,,
15,4,51.68132297694683,101.05290499515831,1355.5,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:58:33+00:00,Лето,2019,8,15,3,Ночь,,,
16,4,51.681457003578544,101.0528039932251,1357.2,15.5,Drizzle,,[],1.757150502467741,Тункинский район,2019-08-15 02:58:41+00:00,Лето,2019,8,15,3,Ночь,,,
